word,prior,expected_guesses
beady,0.976432,2.6922
beaks,0.0,2.7282
beaky,0.0,2.7363
beals,0.0,2.6354
beams,0.0,2.6879
beamy,0.0,2.697
beano,0.0,2.6618
beans,0.0,2.6439
beany,0.0,2.6543
beard,1.0,2.6381
beare,0.0,2.6433
bears,0.0,2.6386
beast,1.0,2.5976
beath,0.0,2.653
beats,0.0,2.6362
beaty,0.0,2.6441
beaus,0.0,2.7084
beaut,0.936997,2.6611
beaux,0.0,2.8263
bebop,1.0,2.8455
becap,0.0,2.721
becke,0.0,2.8142
becks,0.0,2.7656
bedad,0.0,2.8058
bedel,0.0,2.7099
bedes,0.0,2.755
bedew,0.0,2.8169
bedim,0.0,2.7383
bedye,0.0,2.7977
beech,1.0,2.802
beedi,0.0,2.7948
beefs,0.0,2.8318
beefy,1.0,2.8537
beeps,0.0,2.7991
beers,0.0,2.7368
beery,0.0,2.7516
beets,0.0,2.7414
befit,0.983428,2.6912
befog,0.736992,2.7693
begad,0.0,2.7096
began,1.0,2.689
begar,0.0,2.6521
begat,0.999916,2.6871
begem,0.0,2.8101
beget,0.999351,2.7367
begin,1.0,2.7081
begob,0.0,2.8903
begot,0.97971,2.693
begum,0.0,2.7965
begun,1.0,2.7368
beige,1.0,2.7808
