word,prior,expected_guesses
apism,0.0,2.6951
apnea,1.0,2.7559
apode,0.0,2.6787
apods,0.0,2.7384
apols,0.0,2.6711
apoop,0.0,2.9287
aport,0.0,2.6193
appal,0.0,2.8833
appam,0.0,2.9496
appay,0.0,2.9243
appel,0.0,2.7583
apple,1.0,2.7561
apply,1.0,2.8025
appro,0.0,2.8098
appts,0.0,2.8114
appui,0.0,2.9065
appuy,0.0,2.8701
apres,0.0,2.6217
apron,1.0,2.6273
apses,0.0,2.7847
apsis,0.0,2.8065
apsos,0.0,2.8144
apted,0.0,2.6479
apter,0.0,2.6004
aptly,1.0,2.6507
aquae,0.0,2.9059
aquas,0.0,2.9449
araba,0.0,2.88
araks,0.0,2.7499
arame,0.0,2.6693
arars,0.0,2.8007
arbah,0.0,2.7598
arbas,0.0,2.7397
arbor,0.939414,2.7473
arced,0.003896,2.6039
archi,0.0,2.7075
arcos,0.0,2.6395
arcus,0.0,2.6664
ardeb,0.0,2.634
ardor,0.994098,2.7321
ardri,0.0,2.7747
aread,0.0,2.6819
areae,0.0,2.725
areal,0.0,2.6737
arear,0.0,2.7695
areas,0.0,2.7515
areca,0.0,2.6972
aredd,0.0,2.7256
arede,0.0,2.6492
arefy,0.0,2.691
areic,0.0,2.6381
arena,1.0,2.7249
arene,0.0,2.6287
arepa,0.0,2.7169
arere,0.0,2.7342
arete,0.0,2.6096
arets,0.0,2.5834
arett,0.0,2.6543
argal,0.0,2.7145
argan,0.0,2.7094
argil,0.0,2.6353
argle,0.0,2.5939
argol,0.0,2.6359
argon,0.961201,2.6335
argot,1.0,2.6121
argue,1.0,2.656
argus,0.0,2.6804
arhat,0.0,2.6998
arias,0.0,2.7345
ariel,0.0,2.5986
ariki,0.0,2.8161
arils,0.0,2.6231
ariot,0.0,2.5813
arise,1.0,2.5851
arish,0.0,2.632
arith,0.0,2.6111
arked,0.0,2.6618
arled,0.0,2.5834
arles,0.0,2.5924
armed,1.0,2.6191
armer,0.0,2.7005
armet,0.0,2.5766
armil,0.0,2.6441
armor,1.0,2.7391
arnas,0.0,2.6994
arnis,0.0,2.6201
arnut,0.0,2.6076
aroba,0.0,2.7447
aroha,0.0,2.7552
aroid,0.0,2.6238
aroma,1.0,2.7592
arose,1.0,2.5927
arpas,0.0,2.7246
arpen,0.0,2.6045
arrah,0.0,2.8092
arras,0.0,2.7926
array,1.0,2.8645
arret,0.0,2.6251
arris,0.0,2.7161
arrow,1.0,2.7977
arroz,0.0,2.8351
arsed,0.0,2.597
arses,0.0,2.703
arsey,0.0,2.6274
arsis,0.0,2.742
arson,1.0,2.5954
artal,0.0,2.6713
artel,0.0,2.5621
arter,0.0,2.6537
artic,0.0,2.6216
artis,0.0,2.5969
artly,0.0,2.6351
artsy,1.0,2.6195
aruhe,0.0,2.6544
arums,0.0,2.6747
arval,0.0,2.7671
arvee,0.0,2.6939
arvos,0.0,2.6981
aryls,0.0,2.6694
asada,0.0,2.9445
asana,0.0,2.8814
ascon,0.0,2.6813
ascot,0.977306,2.6437
ascus,0.0,2.8526
asdic,0.0,2.7484
ashed,0.003896,2.6957
ashen,1.0,2.6751
ashes,0.0,2.8247
ashet,0.0,2.6505
aside,1.0,2.6658
asity,0.0,2.6675
askar,0.0,2.7922
asked,0.003896,2.7293
asker,0.829263,2.7015
askew,1.0,2.7907
askoi,0.0,2.7982
askos,0.0,2.887
aspen,0.987907,2.6418
asper,0.0,2.6407
aspic,0.982001,2.6983
aspie,0.0,2.6526
aspis,0.0,2.8236
aspro,0.0,2.6873
assai,0.0,2.9106
assam,0.0,2.9059
assay,0.967006,2.9445
assed,0.0,2.7817
asses,0.0,2.9386
asset,1.0,2.7486
assez,0.0,2.9081
assot,0.0,2.7556
aster,0.943819,2.6029
astir,0.902458,2.6145
astun,0.0,2.6596
asura,0.0,2.7681
asway,0.0,2.86
aswim,0.0,2.8056
asyla,0.0,2.7884
ataps,0.0,2.7432
ataxy,0.0,2.8926
atigi,0.0,2.8177
atilt,0.0,2.6886
atimy,0.0,2.6976
atlas,1.0,2.7215
atman,0.0,2.7519
atmas,0.0,2.7731
atmos,0.0,2.6942
atocs,0.0,2.6638
atoke,0.0,2.6821
atoks,0.0,2.7215
atoll,0.994075,2.7384
atoms,0.0,2.6677
atomy,0.0,2.6911
atone,1.0,2.601
atony,0.0,2.6483
atopy,0.0,2.6915
atria,0.895947,2.7413
atrip,0.0,2.6384
attap,0.0,2.8566
attar,0.0,2.7807
attas,0.0,2.836
atter,0.0,2.6704
attic,1.0,2.7863
atuas,0.0,2.7449
aucht,0.0,2.6823
audad,0.0,2.9148
audax,0.0,2.9308
audio,1.0,2.7362
audit,1.0,2.6676
augen,0.0,2.6668
auger,0.950148,2.6749
auges,0.0,2.6911
aught,0.840468,2.7257
augur,1.0,2.8246
aulas,0.0,2.7292
aulic,0.0,2.6956
auloi,0.0,2.6922
aulos,0.0,2.6678
aumil,0.0,2.6875
aunes,0.0,2.646
aunts,0.0,2.635
aunty,0.685589,2.6769
aurae,0.0,2.693
aural,1.0,2.7492
aurar,0.0,2.7996
auras,0.0,2.7558
aurei,0.0,2.6932
aures,0.0,2.6161
auric,0.0,2.6845
auris,0.0,2.6576
aurum,0.0,2.8092
autos,0.0,2.6699
auxin,0.0,2.8046
