word,unseen_prior,is_target,src_1_norvig,src_2_wordfreq,src_3_subtlex,src_4_github,src_5_nltk_news,src_6_nltk_fiction,src_7_nltk_reuters,src_8_nltk_gutenberg,src_9_nltk_chat,src_10_nltk_web,log_src_1_norvig,log_src_2_wordfreq,log_src_3_subtlex,log_src_4_github,log_src_5_nltk_news,log_src_6_nltk_fiction,log_src_7_nltk_reuters,log_src_8_nltk_gutenberg,log_src_9_nltk_chat,log_src_10_nltk_web,is_standard_plural,is_excluded,src_breadth,conversational_mean,tech_skew,oof_predicted_prob,ranking_prob,stage_1_rank,is_predicted_solution,is_in_4500_guess_list
vexes,0.0,0,18629.0,6.46e-08,5.0,54.0,0,0,0,1,0,1,4.298866170518296,-7.182963773949971,0.7075701760979364,1.7331972651065695,-1.0,-1.0,-1.0,0.04139268515822508,-1.0,-1.0,True,True,6,-2.1188483994630083,2.485447032016293,0.011043860711215311,0.011043860711215311,4145,False,False
vexil,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3.104350519242735,-8.991399828238082,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,False,0,-2.9978499570595205,1.9978499570595205,7.665730856846619e-06,7.665730856846619e-06,12938,False,False
vezir,0.0,0,0.0,0.0,0.0,11.0,0,0,0,0,0,0,3.104350519242735,-8.991399828238082,-1.0,1.0453229787866574,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,False,1,-2.9978499570595205,3.0205114464528493,7.479132246228184e-06,7.479132246228184e-06,13935,False,False
vials,0.0,0,751274.0,1e-06,66.0,698.0,0,0,0,7,0,0,5.876532820848423,-5.99955724539494,1.8068580295188175,2.8439176380063924,-1.0,-1.0,-1.0,0.4913616938342727,-1.0,-1.0,True,True,5,-1.5481748039690306,2.470133622972227,0.9297553535971946,0.9297553535971946,1736,False,True
viand,0.0,0,32735.0,0.0,0.0,11.0,0,0,0,0,0,0,4.531563213083803,-8.991399828238082,-1.0,1.0453229787866574,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,False,2,-2.9978499570595205,3.0205114464528493,9.519722885515141e-06,9.519722885515141e-06,10156,False,False
vibed,0.0,0,0.0,3.39e-08,0.0,28.0,0,0,0,0,0,0,3.104350519242735,-7.456925764966468,-1.0,1.4487063199050798,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,False,2,-2.6142314412416168,2.8385846011941567,1.2919922075895251e-05,1.2919922075895251e-05,9084,False,False
vibes,0.0,0,1073710.0,3.55e-06,55.0,1000.0,0,0,0,0,0,0,6.0314010306824555,-5.718734767762263,1.7411515988517852,2.9965116522837576,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,True,True,4,-1.4943957922276194,2.4926516183694982,0.27109244374169733,0.27109244374169733,3205,False,True
vibex,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3.104350519242735,-8.991399828238082,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,False,0,-2.9978499570595205,1.9978499570595205,7.675525093286249e-06,7.675525093286249e-06,12389,False,False
vibey,0.0,0,0.0,2.4e-08,0.0,3.0,0,0,0,0,0,0,3.104350519242735,-7.601712694642599,-1.0,0.4913616938342727,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,False,2,-2.6504281736606496,2.3961090205777857,1.1448002044736133e-05,1.1448002044736133e-05,9435,False,False
vicar,1.0,1,825292.0,2.34e-06,75.0,2751.0,0,0,0,4,0,0,5.917276276015593,-5.718734767762263,1.8068580295188175,2.9965116522837576,-1.0,-1.0,-1.0,0.4913616938342727,-1.0,-1.0,False,False,5,-1.4779691845608613,2.4762250107027404,0.9822780695882086,0.9822780695882086,500,True,True
