game_num,target,guesses,guess_count,failed,is_repeat,days_since_last,g_bar,base_ema_prob,adjusted_prob
1723,lobby,slate-dilly-loony-lobby,4,False,False,5,8.86,0.103822,0.069814
1724,hasty,slate-hasty,2,False,False,6,8.86,0.102784,0.080883
1725,shoal,slate-salon-shoal,3,False,False,7,8.86,0.101756,0.091724
1726,teddy,slate-ripen-teddy,3,False,False,8,8.86,0.100739,0.10234
1727,smell,slate-smell,2,False,False,9,8.86,0.099731,0.112735
1728,eaten,slate-meter-eaten,3,False,False,10,8.86,0.098734,0.122911
1729,ankle,slate-ankle,2,False,False,11,8.86,0.097747,0.132873
1730,grade,slate-pedro-grade,3,False,True,12,8.86,0.106769,0.010677
1731,drama,slate-churn-drama,3,False,False,1,9.18,0.105702,0.022207
1732,clasp,slate-clasp,2,False,False,2,9.18,0.104645,0.033505
1733,amply,slate-rainy-amply,3,False,False,3,9.18,0.103598,0.044576
1734,rehab,slate-radar-rehab,3,False,False,4,9.18,0.102562,0.055421
1735,oasis,slate-basis-oasis,3,False,False,5,9.18,0.101537,0.066045
1736,slick,slate-hinky-slick,3,False,False,6,9.18,0.100521,0.076451
1737,basil,slate-basil,2,False,False,7,9.18,0.099516,0.086642
1738,serif,slate-sheer-serif,3,False,False,8,9.18,0.098521,0.096622
1739,brood,slate-prion-brood,3,False,False,9,9.18,0.097536,0.106394
1740,wiser,slate-runes-wiser,3,False,False,10,9.18,0.09656,0.11596
1741,befit,slate-tenor-petit-befit,4,False,False,11,9.18,0.095595,0.125325
1742,ivory,slate-prion-corgi-ivory,4,False,True,12,9.18,0.104639,0.010464
1743,afoot,slate-tarot-afoot,3,False,False,1,9.46,0.103592,0.021383
1744,chump,slate-prion-bumpy-chump,4,False,False,2,9.46,0.102556,0.032082
1745,comet,slate-tenor-comet,3,False,True,3,9.46,0.111531,0.011153
1746,swamp,slate-crown-swamp,3,False,False,1,8.81,0.110416,0.023763
1747,fizzy,slate-prion-fizzy,3,False,False,2,8.81,0.109311,0.036119
1748,sober,slate-sheer-sober,3,False,False,3,8.81,0.108218,0.048225
1749,singe,slate-prion-singe,3,False,False,4,8.81,0.107136,0.060086
1750,sandy,slate-garbo-sappy-mused-sandy,5,False,True,5,8.81,0.116065,0.011606
1751,envoy,slate-mired-penny-envoy,4,False,False,1,8.43,0.114904,0.025408
1752,sworn,slate-incur-sworn,3,False,False,2,8.43,0.113755,0.038932
1753,dense,slate-pound-dense,3,False,False,3,8.43,0.112617,0.052183
