word,prior,expected_guesses
alter,0.8202315090410959,2.4591
altho,0.0,2.5606
altos,0.0,2.4941
alula,0.0,2.7542
alums,0.0,2.5666
alumy,0.0,2.5822
alure,0.0,2.5041
alurk,0.0,2.5814
alvar,0.0,2.6566
alway,0.0,2.7058
amahs,0.0,2.7128
amain,0.0,2.6489
amari,0.0,2.6589
amaro,0.972228,2.6536
amass,0.3822169117808219,2.8001
amate,0.0,2.6017
amaut,0.0,2.6467
amaze,0.0007792000000000001,2.7838
amban,0.0,2.7171
amber,0.8612953775342467,2.566
ambit,0.973035,2.5963
amble,0.0975074235616438,2.5584
ambos,0.0,2.6458
ambry,0.0,2.6189
ameba,0.0,2.735
ameer,0.0,2.5771
amend,1.0,2.5713
amene,0.0,2.6137
amens,0.0,2.5632
ament,0.0,2.5288
amias,0.0,2.6693
amice,0.0,2.5405
amici,0.0,2.7313
amide,0.0,2.5685
amido,0.0,2.6227
amids,0.0,2.6342
amies,0.0,2.553
amiga,0.0,2.7106
amigo,0.942233,2.6344
amine,0.0,2.5264
amino,1.0,2.5844
amins,0.0,2.5818
amirs,0.0,2.5577
amiss,0.6295126531506849,2.6967
amity,0.989425,2.582
amlas,0.0,2.6638
amman,0.0,2.8108
ammas,0.0,2.8281
ammon,0.0,2.7257
ammos,0.0,2.7399
amnia,0.0,2.6671
amnic,0.0,2.6096
amnio,0.0,2.5856
amoks,0.0,2.6458
amole,0.0,2.5274
among,0.0007792000000000001,2.5943
amore,0.0,2.5229
amort,0.0,2.5075
amour,0.989007,2.5713
amove,0.0,2.644
amowt,0.0,2.6384
amped,0.003896,2.5705
ample,1.0,2.5228
amply,0.0007792000000000001,2.5756
ampul,0.0,2.6155
amrit,0.0,2.5177
amuck,0.801422,2.6695
amuse,0.0007792000000000001,2.5665
amyls,0.0,2.6074
anana,0.0,2.8867
anata,0.0,2.7398
ancho,0.989113,2.6072
ancle,0.0,2.5187
ancon,0.0,2.6769
andic,0.0,2.6029
andro,0.0,2.5536
anear,0.0,2.5728
anele,0.0,2.5642
anent,0.0,2.6099
angas,0.0,2.6674
angel,0.6021367408219178,2.5292
anger,0.7235032854794521,2.5279
angle,0.095682362739726,2.5195
anglo,0.0,2.5756
angry,0.9890496350684932,2.5724
angst,0.3548409994520548,2.5269
anigh,0.0,2.5943
anile,0.0,2.4825
anils,0.0,2.5248
anima,0.942233,2.6782
anime,1.0,2.5378
animi,0.0,2.7147
anion,0.0,2.65
anise,1.0,2.5086
anker,0.0,2.5596
ankhs,0.0,2.6696
ankle,0.0007792000000000001,2.5584
ankus,0.0,2.6512
anlas,0.0,2.6237
annal,0.019518,2.7587
annan,0.0,2.8968
annas,0.0,2.7548
annat,0.0,2.7149
annex,0.0007792000000000001,2.8008
annoy,0.0007792000000000001,2.7009
annul,1.0,2.6839
annum,0.0,2.7407
annus,0.0,2.7082
anoas,0.0,2.622
anode,0.6404630180821917,2.5352
anole,0.850312,2.4924
anomy,0.0,2.58
ansae,0.0,2.5854
ansas,0.0,2.7518
antae,0.0,2.5704
antar,0.0,2.5683
antas,0.0,2.6048
anted,0.0,2.5185
antes,0.0,2.4981
antic,0.8357445260273972,2.5403
antis,0.0,2.5214
antra,0.0,2.5909
antre,0.0,2.4598
antsy,1.0,2.5336
anura,0.0,2.6354
anvil,0.305564357260274,2.6234
anyon,0.0,2.6945
aorta,0.8457823605479452,2.5977
apace,1.0,2.6254
apage,0.0,2.6444
apaid,0.0,2.6652
apart,0.4561318750684931,2.5831
apayd,0.0,2.7166
apays,0.0,2.6883
apeak,0.0,2.7001
apeek,0.0,2.6607
apers,0.0,2.5264
apert,0.0,2.4807
apery,0.0,2.5278
apgar,0.0,2.6492
aphid,0.948844,2.6295
aphis,0.0,2.6301
apian,0.0,2.6208
aping,0.99393,2.581
apiol,0.0,2.5447
apish,0.0,2.5709
apism,0.0,2.5857
apnea,1.0,2.6444
apode,0.0,2.5653
apods,0.0,2.6232
apols,0.0,2.5577
apoop,0.0,2.8061
aport,0.0,2.5029
appal,0.0,2.773
appam,0.0,2.8377
appay,0.0,2.8012
appel,0.0,2.6438
apple,0.8038059616438356,2.6381
apply,0.8558201950684932,2.6923
appro,0.0,2.6878
appts,0.0,2.696
appui,0.0,2.787
appuy,0.0,2.75
apres,0.0,2.5054
apron,1.0,2.5152
apses,0.0,2.6748
apsis,0.0,2.6949
apsos,0.0,2.7001
apted,0.0,2.5393
apter,0.0,2.4857
aptly,0.8941464723287671,2.5374
aquae,0.0,2.7972
aquas,0.0,2.8491
araba,0.0,2.7733
araks,0.0,2.6405
arame,0.0,2.5614
arars,0.0,2.6889
arbah,0.0,2.6596
arbas,0.0,2.6316
arbor,0.7882929446575342,2.634
arced,0.003896,2.5035
archi,0.0,2.6007
arcos,0.0,2.5279
arcus,0.0,2.559
ardeb,0.0,2.5272
ardor,0.5583352810958904,2.6143
ardri,0.0,2.6588
aread,0.0,2.574
areae,0.0,2.6163
areal,0.0,2.5639
arear,0.0,2.6534
areas,0.0,2.6342
areca,0.0,2.5832
aredd,0.0,2.624
arede,0.0,2.5499
arefy,0.0,2.5761
areic,0.0,2.5248
arena,1.0,2.6247
arene,0.0,2.526
arepa,0.0,2.5972
arere,0.0,2.6261
arete,0.0,2.503
arets,0.0,2.4661
arett,0.0,2.5431
argal,0.0,2.6151
argan,0.0,2.605
argil,0.0,2.534
argle,0.0,2.4857
argol,0.0,2.5299
argon,0.961201,2.5267
argot,1.0,2.5019
argue,1.0,2.5484
argus,0.0,2.5741
arhat,0.0,2.5925
arias,0.0,2.6239
ariel,0.0,2.4795
ariki,0.0,2.7023
arils,0.0,2.5152
ariot,0.0,2.4664
arise,0.0007792000000000001,2.4676
arish,0.0,2.5243
arith,0.0,2.5049
arked,0.0,2.5551
arled,0.0,2.4803
arles,0.0,2.4819
armed,1.0,2.52
armer,0.0,2.5892
armet,0.0,2.4669
armil,0.0,2.5407
armor,1.0,2.632
arnas,0.0,2.5888
arnis,0.0,2.5084
arnut,0.0,2.4977
aroba,0.0,2.6366
aroha,0.0,2.6433
aroid,0.0,2.5171
aroma,1.0,2.6503
arose,1.0,2.4833
arpas,0.0,2.6079
arpen,0.0,2.4822
arrah,0.0,2.7019
arras,0.0,2.6798
array,1.0,2.7359
arret,0.0,2.5093
arris,0.0,2.6044
